"Nombre","Foto","Posicion","Nacionalidades","Edad","Club","ValorMasAlto","ValorActual","Ultimarevisión"
"Davide Frattesi","https://img.a.transfermarkt.technology/portrait/medium/394300-1730126974.jpg?lm=1","Mediocentro","Italia","25","Inter de Milán","35,00 mill. €","32,00 mill. €","18/12/2024"
"Youssouf Fofana","https://img.a.transfermarkt.technology/portrait/medium/569598-1725528517.jpg?lm=1","Pivote","Francia, Malí","26","AC Milan","30,00 mill. €","30,00 mill. €","18/12/2024"
"David Neres","https://img.a.transfermarkt.technology/portrait/medium/469822-1701334470.jpg?lm=1","Extremo derecho","Brasil","28","SSC Nápoles","45,00 mill. €","30,00 mill. €","25/03/2025"
"Randal Kolo Muani","https://img.a.transfermarkt.technology/portrait/medium/487969-1718697120.jpg?lm=1","Delantero centro","Francia, RD del Congo","26","Juventus de Turín","80,00 mill. €","30,00 mill. €","10/12/2024"
"Artem Dovbyk","https://img.a.transfermarkt.technology/portrait/medium/343537-1719215184.jpg?lm=1","Delantero centro","Ucrania","27","AS Roma","35,00 mill. €","30,00 mill. €","18/12/2024"
"Benjamin Pavard","https://img.a.transfermarkt.technology/portrait/medium/353366-1713819215.jpg?lm=1","Defensa central","Francia","29","Inter de Milán","50,00 mill. €","30,00 mill. €","25/03/2025"
"Yann Bisseck","https://img.a.transfermarkt.technology/portrait/medium/441986-1742497863.jpg?lm=1","Defensa central","Alemania, Camerún","24","Inter de Milán","30,00 mill. €","30,00 mill. €","18/12/2024"
"Samuele Ricci","https://img.a.transfermarkt.technology/portrait/medium/467992-1730125512.jpg?lm=1","Pivote","Italia","23","Torino FC","30,00 mill. €","30,00 mill. €","25/03/2025"
"Isak Hien","https://img.a.transfermarkt.technology/portrait/medium/503075-1725531359.jpg?lm=1","Defensa central","Suecia, Burkina Faso","26","Atalanta de Bérgamo","30,00 mill. €","30,00 mill. €","18/12/2024"
"Manuel Locatelli","https://img.a.transfermarkt.technology/portrait/medium/265088-1730125083.jpg?lm=1","Pivote","Italia","27","Juventus de Turín","35,00 mill. €","28,00 mill. €","18/12/2024"
"Mario Gila","https://img.a.transfermarkt.technology/portrait/medium/618341-1730127774.jpg?lm=1","Defensa central","España","24","SS Lazio","28,00 mill. €","28,00 mill. €","18/12/2024"
"Nicolò Rovella","https://img.a.transfermarkt.technology/portrait/medium/525704-1730127184.jpg?lm=1","Pivote","Italia","23","SS Lazio","28,00 mill. €","28,00 mill. €","25/03/2025"
"Nico González","https://img.a.transfermarkt.technology/portrait/medium/486031-1673442459.jpg?lm=1","Extremo derecho","Argentina, Italia","27","Juventus de Turín","40,00 mill. €","28,00 mill. €","25/03/2025"
"Denzel Dumfries","https://img.a.transfermarkt.technology/portrait/medium/321528-1746042223.jpg?lm=1","Lateral derecho","Países Bajos, Aruba","29","Inter de Milán","30,00 mill. €","28,00 mill. €","25/03/2025"
"Frank Anguissa","https://img.a.transfermarkt.technology/portrait/medium/354361-1695026237.jpg?lm=1","Mediocentro","Camerún","29","SSC Nápoles","40,00 mill. €","27,00 mill. €","18/12/2024"
"Pierre Kalulu","https://img.a.transfermarkt.technology/portrait/medium/585949-1684854558.jpg?lm=1","Defensa central","Francia, RD del Congo","25","Juventus de Turín","35,00 mill. €","26,00 mill. €","18/12/2024"
"Mike Maignan","https://img.a.transfermarkt.technology/portrait/medium/182906-1681459155.jpg?lm=1","Portero","Francia, Guayana Francesa","29","AC Milan","45,00 mill. €","25,00 mill. €","25/03/2025"
"Pietro Comuzzo","https://img.a.transfermarkt.technology/portrait/medium/746712-1730183199.jpg?lm=1","Defensa central","Italia","20","Fiorentina","25,00 mill. €","25,00 mill. €","25/03/2025"
"João Félix","https://img.a.transfermarkt.technology/portrait/medium/462250-1668165358.jpg?lm=1","Mediapunta","Portugal","25","AC Milan","100,00 mill. €","25,00 mill. €","25/03/2025"
"Nuno Tavares","https://img.a.transfermarkt.technology/portrait/medium/535955-1730127360.jpg?lm=1","Lateral izquierdo","Portugal, Cabo Verde","25","SS Lazio","25,00 mill. €","25,00 mill. €","18/12/2024"
"Taty Castellanos","https://img.a.transfermarkt.technology/portrait/medium/522784-1723926679.jpg?lm=1","Delantero centro","Argentina","26","SS Lazio","25,00 mill. €","25,00 mill. €","25/03/2025"
"Francesco Pio Esposito","https://img.a.transfermarkt.technology/portrait/medium/930781-1681206455.jpg?lm=1","Delantero centro","Italia","19","Inter de Milán","25,00 mill. €","25,00 mill. €","02/06/2025"
"Mike Maignan","https://img.a.transfermarkt.technology/portrait/medium/182906-1681459155.jpg?lm=1","Portero","Francia, Guayana Francesa","29","AC Milan","45,00 mill. €","25,00 mill. €","25/03/2025"
"Evan Ndicka","https://img.a.transfermarkt.technology/portrait/medium/371149-1663064716.jpg?lm=1","Defensa central","Costa de Marfil, Francia","25","AS Roma","32,00 mill. €","25,00 mill. €","18/12/2024"
"Sam Beukema","https://img.a.transfermarkt.technology/portrait/medium/433984-1696837343.jpg?lm=1","Defensa central","Países Bajos","26","Bolonia","25,00 mill. €","25,00 mill. €","25/03/2025"
"Dan Ndoye","https://img.a.transfermarkt.technology/portrait/medium/365108-1718218474.jpg?lm=1","Extremo derecho","Suiza, Senegal","24","Bolonia","25,00 mill. €","25,00 mill. €","18/12/2024"
"Odilon Kossounou","https://img.a.transfermarkt.technology/portrait/medium/644771-1730183693.jpg?lm=1","Defensa central","Costa de Marfil","24","Atalanta de Bérgamo","35,00 mill. €","25,00 mill. €","25/03/2025"
"João Félix","https://img.a.transfermarkt.technology/portrait/medium/462250-1668165358.jpg?lm=1","Mediapunta","Portugal","25","AC Milan","100,00 mill. €","25,00 mill. €","25/03/2025"
"Marco Carnesecchi","https://img.a.transfermarkt.technology/portrait/medium/459763-1695027944.jpg?lm=1","Portero","Italia","24","Atalanta de Bérgamo","25,00 mill. €","25,00 mill. €","25/03/2025"
"Assane Diao","https://img.a.transfermarkt.technology/portrait/medium/1061282-1699273116.jpg?lm=1","Extremo derecho","Senegal, España","19","Como 1907","25,00 mill. €","25,00 mill. €","25/03/2025"
"Federico Gatti","https://img.a.transfermarkt.technology/portrait/medium/509022-1725531068.jpg?lm=1","Defensa central","Italia","26","Juventus de Turín","25,00 mill. €","25,00 mill. €","18/12/2024"
"Lewis Ferguson","https://img.a.transfermarkt.technology/portrait/medium/428563-1663656344.jpg?lm=1","Mediocentro","Escocia","25","Bolonia","24,00 mill. €","24,00 mill. €","25/03/2025"
"Gianluca Scamacca","https://img.a.transfermarkt.technology/portrait/medium/315867-1659354755.jpg?lm=1","Delantero centro","Italia","26","Atalanta de Bérgamo","35,00 mill. €","24,00 mill. €","25/03/2025"
"Weston McKennie","https://img.a.transfermarkt.technology/portrait/medium/332697-1642687384.jpg?lm=1","Mediocentro","Estados Unidos","26","Juventus de Turín","28,00 mill. €","24,00 mill. €","18/12/2024"
"Albert Gudmundsson","https://img.a.transfermarkt.technology/portrait/medium/305947-1705389252.jpg?lm=1","Mediapunta","Islandia","27","Fiorentina","30,00 mill. €","23,00 mill. €","25/03/2025"
"Romelu Lukaku","https://img.a.transfermarkt.technology/portrait/medium/96341-1661780981.jpg?lm=1","Delantero centro","Bélgica, RD del Congo","32","SSC Nápoles","100,00 mill. €","22,00 mill. €","25/03/2025"
"Lorenzo Lucca","https://img.a.transfermarkt.technology/portrait/medium/572265-1725531439.jpg?lm=1","Delantero centro","Italia","24","Udinese","22,00 mill. €","22,00 mill. €","25/03/2025"
"Dodô","https://img.a.transfermarkt.technology/portrait/medium/401529-1663591985.jpg?lm=1","Lateral derecho","Brasil","26","Fiorentina","22,00 mill. €","22,00 mill. €","18/12/2024"
"Matías Soulé","https://img.a.transfermarkt.technology/portrait/medium/668951-1725529266.jpg?lm=1","Extremo derecho","Argentina, Italia","22","AS Roma","25,00 mill. €","22,00 mill. €","18/12/2024"
"Raoul Bellanova","https://img.a.transfermarkt.technology/portrait/medium/357992-1695028689.jpg?lm=1","Interior derecho","Italia","25","Atalanta de Bérgamo","22,00 mill. €","22,00 mill. €","18/12/2024"
"Carlos Augusto","https://img.a.transfermarkt.technology/portrait/medium/585982-1735891597.jpg?lm=1","Lateral izquierdo","Brasil, Italia","26","Inter de Milán","22,00 mill. €","22,00 mill. €","18/12/2024"
"Yunus Musah","https://img.a.transfermarkt.technology/portrait/medium/503991-1684913655.jpg?lm=1","Mediocentro","Estados Unidos, Inglaterra","22","AC Milan","25,00 mill. €","22,00 mill. €","18/12/2024"
"Ange-Yoan Bonny","https://img.a.transfermarkt.technology/portrait/medium/827734-1697613908.jpg?lm=1","Delantero centro","Francia, Costa de Marfil","21","Parma","20,00 mill. €","20,00 mill. €","18/12/2024"
"Morten Frendrup","https://img.a.transfermarkt.technology/portrait/medium/503871-1707815910.jpg?lm=1","Mediocentro","Dinamarca","24","Génova","20,00 mill. €","20,00 mill. €","18/12/2024"
"Fikayo Tomori","https://img.a.transfermarkt.technology/portrait/medium/303254-1684856117.jpg?lm=1","Defensa central","Inglaterra, Canadá","27","AC Milan","50,00 mill. €","20,00 mill. €","25/03/2025"
"Mattia Zaccagni","https://img.a.transfermarkt.technology/portrait/medium/283735-1695026445.jpg?lm=1","Extremo izquierdo","Italia","29","SS Lazio","30,00 mill. €","20,00 mill. €","18/12/2024"
"Riccardo Orsolini","https://img.a.transfermarkt.technology/portrait/medium/368482-1724827463.jpg?lm=1","Extremo derecho","Italia","28","Bolonia","25,00 mill. €","20,00 mill. €","25/03/2025"
"Giacomo Raspadori","https://img.a.transfermarkt.technology/portrait/medium/405885-1708552564.jpg?lm=1","Mediapunta","Italia","25","SSC Nápoles","35,00 mill. €","20,00 mill. €","25/03/2025"
